hour,ust_inflow,ust_outflow,net_outflow,whale_outflow,small_outflow,hhi,top_share
2022-04-26 08:00:00+00:00,11309907.16573,16775003.560118,5465096.394388,364490.379819,16410513.180298999,0.36652303109905815,0.02172818494569882
2022-04-26 09:00:00+00:00,5985186.553135,3130809.686685,-2854376.86645,597700.0583029999,2533109.628382,0.028765024151542987,0.1909090995996833
2022-04-26 10:00:00+00:00,19741927.069108,19209391.04614,-532536.0229679979,383724.617051,18825666.429089,0.10798120109603593,0.019975886592620902
2022-04-26 11:00:00+00:00,32176075.722723003,25394322.652985003,-6781753.069738001,1836020.2300860002,23558302.422899,0.513793364190169,0.07230042144361677
2022-04-26 12:00:00+00:00,11016083.789513,8890325.781051,-2125758.008461999,4610.00009,8885715.780961,0.13559184872315164,0.0005185411877510536
2022-04-26 13:00:00+00:00,31994125.418401,16331136.737861,-15662988.68054,85859.11599199999,16245277.621869,0.09223029958444859,0.005257387613009818
2022-04-26 14:00:00+00:00,15611679.707605,62810274.901481,47198595.193876,359190.85871400003,62451084.042767,0.4159911986174679,0.005718664012813144
2022-04-26 15:00:00+00:00,76970040.828586,18109109.804214,-58860931.024372,125585.61472099999,17983524.189493,0.09443003496934188,0.006934941368116071
2022-04-26 16:00:00+00:00,23980610.3479,72303194.663487,48322584.315587,2150632.451103,70152562.212384,0.19678912704307702,0.029744639377450165
2022-04-26 17:00:00+00:00,35632816.71354,71131334.195058,35498517.481518,705916.004591,70425418.190467,0.2663142312035323,0.009924121522242514
2022-04-26 18:00:00+00:00,17108542.845715,7422167.94489,-9686374.900825001,2453224.520569,4968943.4243209995,0.059037989990977216,0.33052667883350595
2022-04-26 19:00:00+00:00,35969393.045933,36171990.089235,202597.04330199957,3359080.0683399998,32812910.020895,0.31572622780085274,0.09286412110733387
2022-04-26 20:00:00+00:00,42072153.441552,76960475.534044,34888322.092492,601860.570363,76358614.96368101,0.3310299744882982,0.007820385284609668
2022-04-26 21:00:00+00:00,11062323.868914999,8502338.698069,-2559985.1708459985,279959.996581,8222378.701488,0.0587093954538876,0.0329274105070153
2022-04-26 22:00:00+00:00,17668706.745701,5077585.75487,-12591120.990830999,45614.471246,5031971.283624,0.046097770395710655,0.008983495985715332
2022-04-26 23:00:00+00:00,14185393.282517001,20107910.563244,5922517.280726999,400842.921541,19707067.641703,0.08418859376218907,0.01993458844370015
2022-04-27 00:00:00+00:00,3963609.442877,26598645.538903,22635036.096026003,325232.147467,26273413.391436,0.6238531732341915,0.012227395075110784
2022-04-27 01:00:00+00:00,69827693.414728,4982172.597735,-64845520.816993,303698.101117,4678474.496618,0.05776522342222458,0.060956961076592875
2022-04-27 02:00:00+00:00,14026885.495296,19218681.87866,5191796.383364001,8371495.394748,10847186.483912,0.23019123704834588,0.4355915482447068
2022-04-27 03:00:00+00:00,53954998.412723,16176461.974622,-37778536.43810099,9824108.040590001,6352353.934032,0.30337905999418663,0.6073088204331877
2022-04-27 04:00:00+00:00,8880483.44377,8963321.953139,82838.50936899893,784161.985348,8179159.967791,0.08064120618472487,0.08748564309612716
2022-04-27 05:00:00+00:00,15017915.865592,3804140.104732,-11213775.76086,183574.746797,3620565.357935,0.03814892744570114,0.04825656830268946
2022-04-27 06:00:00+00:00,22421861.372226,17988011.661052,-4433849.711174,207810.514782,17780201.14627,0.14589265371402224,0.011552722930014298
2022-04-27 07:00:00+00:00,24867938.693279,12620994.480631,-12246944.212648002,3448113.672159,9172880.808472,0.13358856525795243,0.2732045939367694
2022-04-27 08:00:00+00:00,28486879.009808,24785941.067854,-3700937.941954002,346353.903892,24439587.163962,0.4338874729845609,0.01397380486558172
2022-04-27 09:00:00+00:00,17846067.990147002,13096596.282939,-4749471.707208002,1125632.913011,11970963.369928,0.13867084392257192,0.08594850819959744
2022-04-27 10:00:00+00:00,7191864.039698,5244238.680993999,-1947625.3587040007,330672.849667,4913565.831327,0.07035628286677183,0.06305450033489396
2022-04-27 11:00:00+00:00,5444258.347891,10093381.027798,4649122.679907001,204757.002559,9888624.025239,0.1437139742999892,0.020286265028049807
2022-04-27 12:00:00+00:00,20872526.864228,17246821.616637,-3625705.247591,2150016.5117450003,15096805.104892,0.10664651441494094,0.12466160777537151
2022-04-27 13:00:00+00:00,17368174.058062,22187998.471399,4819824.413337003,1123702.175987,21064296.295412,0.2647329203219883,0.050644594077987076
2022-04-27 14:00:00+00:00,62121143.043607004,201542258.962788,139421115.919181,756873.975232,200785384.987556,0.5491614539615259,0.0037554107963618014
2022-04-27 15:00:00+00:00,164432657.176055,17045976.022251,-147386681.153804,1225815.179418,15820160.842833,0.09452159165106164,0.07191229049119156
2022-04-27 16:00:00+00:00,15914179.216811,9005797.894596,-6908381.322215,339928.354955,8665869.539641,0.06009056005856257,0.037745501168639006
2022-04-27 17:00:00+00:00,15863078.794421,38029331.755369,22166252.960947998,10583.200086,38018748.555283,0.7091837500309213,0.00027829045627408004
2022-04-27 18:00:00+00:00,10561374.226405,17193262.063827,6631887.837422,515802.823843,16677459.239984,0.19174126522470225,0.030000288597252317
2022-04-27 19:00:00+00:00,6367066.991679,3506933.2959849997,-2860133.695694,108276.441052,3398656.854933,0.2132100800229001,0.030874964509864784
2022-04-27 20:00:00+00:00,5507743.442466,6790500.327312,1282756.884846,3073429.5857639997,3717070.741548,0.2198977887361407,0.45260723623005966
2022-04-27 21:00:00+00:00,33392803.762878,11547072.551391,-21845731.211487003,419304.824728,11127767.726662999,0.16684640146904242,0.0363126517878758
2022-04-27 22:00:00+00:00,25290633.302197002,5784147.477435,-19506485.824762,31769.645817999997,5752377.8316170005,0.1522546964775685,0.005492537308555686
